movement,x1,y1,x2,y2,cross,direction
1,74,205,130,274,False,
1,1,420,130,274,False,
1,1,290,130,274,True,True
2,152,172,1020,640,False,
2,20,220,901,873,False,
2,572,630,716,478,True,True
3,264,191,834,153,False,
3,846,258,46,297,False,
3,476,275,593,170,True,True
4,262,190,417,192,False,
4,417,192,627,145,False,
4,400,126,312,192,True,True
5,7,241,645,78,False,
5,763,131,4,435,False,
5,250,183,386,284,True,True
6,767,93,592,152,False,
6,603,203,592,152,False,
6,603,203,818,139,True,True
7,774,163,1032,625,False,
7,863,335,1020,273,True,False
8,258,186,1054,538,False,
8,1105,353,363,132,False,
8,639,217,476,281,True,True
9,5,280,1226,360,False,
9,1060,668,10,439,False,
9,412,306,70,453,True,True
10,140,754,978,674,False,
10,752,696,753,947,True,False
11,1,480,843,128,False,
11,960,189,72,755,False,
11,476,281,674,370,True,False
12,29,458,247,200,False,
12,392,131,116,696,False,
12,111,368,313,289,True,False
