movement,x1,y1,x2,y2,cross,direction
1,64,160,320,770,False,
1,145,357,1,410,True,False
2,3,288,1872,906,False,
2,1897,618,106,231,False,
2,637,496,1137,312,True,True
3,17,390,1756,368,False,
3,833,140,17,390,True,False
3,833,140,1756,368,True,False
4,17,390,1756,368,False,
4,833,140,17,390,True,True
4,833,140,1756,368,True,True
5,1,470,1460,105,False,
5,1635,144,9,727,False,
5,565,326,909,403,True,True
6,833,140,1027,930,False,
6,1756,368,833,140,True,False
6,1756,368,1027,930,True,False
7,833,140,1027,930,False,
7,1756,368,833,140,True,True
7,1756,368,1027,930,True,True
8,1891,428,229,174,False,
8,1897,618,106,231,False,
8,637,496,1137,312,True,False
9,17,390,1756,368,False,
9,1027,930,1756,368,True,False
9,1303,717,171,337,True,False
10,17,390,1756,368,False,
10,1027,930,1756,368,True,True
10,1027,930,17,390,True,True
11,1728,168,183,1029,False,
11,1635,144,1,627,False,
11,909,403,1195,466,True,False
12,833,140,1027,930,False,
12,17,390,833,140,True,False
12,17,390,1027,930,True,False
