movement,x1,y1,x2,y2,cross,direction
1,44,327,340,60,False,
1,85,222,213,175,True,True
2,145,142,1150,886,False,
2,231,97,1260,580,False,
2,598,478,810,368,True,True
3,139,145,1204,333,False,
3,661,61,612,235,True,False
4,3,145,797,125,False,
4,435,1,435,133,True,True
5,771,52,1,175,False,
5,931,125,26,336,False,
5,274,130,412,245,True,True
6,909,109,650,140,False,
6,650,140,688,238,False,
6,668,189,992,154,True,True
7,891,138,1150,554,False,
7,1215,260,1005,324,True,True
8,385,70,1253,358,False,
8,245,103,1268,579,False,
8,536,241,725,183,True,False
9,19,240,1221,389,False,
9,16,334,1227,574,False,
9,850,340,816,512,True,True
10,4,656,1230,484,False,
10,573,578,617,952,True,False
11,8,419,976,145,False,
11,10,775,1149,197,False,
11,582,258,810,376,True,False
12,11,512,458,280,False,
12,331,96,458,280,False,
12,14,384,393,202,True,False
